Zeitstempel,What is your participation ID?,Please state your age,Please state your gender,How often do you use a computer?,Do you have experience playing computer games?,How would you assess your knowledge on climate change?,Which Menu Option was presented - (ask Dev),Obstructive-Supportive,Complicated-Easy,Confusing-Clear,Boring-Exciting,Not Interesting-Interesting,Conventional-Inventive,Usual-Leading edge,I could complete all the given tasks satisfyingly with this version,I found this version's item placement intuitive.,I felt confident placing the correct items in the right place.,The menu structure of this version was intuitive.,The menu provided timely all the information I needed to complete the tasks.,The game visualizes climate change well.,The game helps me get a feeling of climate change and it's origin.,The information provided about the different objects was interesting and educational.,I would play a full version of this game,time to first place,time to perform,nr of clicks,mousetravel
27.11.2021 15:05:44,JB01,20-30,Male,Daily,I play computer games at least once a week,4,A,5,6,4,6,7,5,4,7,5,3,5,5,6,5,2,5,4389,37794,23,93225
28.11.2021 12:20:25,sl02,20-30,Female,Daily,I rarely play computer games,5,A,4,7,5,3,2,2,2,7,7,7,7,6,5,4,3,5,,34854,23,47227
28.11.2021 12:46:54,sl03,50-65,Female,Daily,I play computer games at least once a week,5,A,6,5,5,6,6,2,2,7,7,7,7,7,2,2,2,6,,45659,25,40294
28.11.2021 16:31:30,LR01,20-30,Male,Daily,I used to play computer games rarely,6,A,6,6,6,6,3,2,2,6,7,7,7,7,3,3,5,6,19001,58707,23,78297
28.11.2021 20:50:33,LR02,20-30,Male,Daily,I play computer games at least once a week,7,A,6,7,2,2,5,2,1,7,6,7,5,7,6,5,6,7,6021,29090,23,73733
01.12.2021 08:56:50,LF01,20-30,Male,Daily,I play computer games at least once a week,4,A,6,7,6,4,4,2,3,7,7,3,6,7,3,4,4,3,17891,36965,23,61957
27.11.2021 15:33:58,JB02,20-30,Male,Daily,I play computer games at least once a week,5,A,5,7,7,6,6,2,4,7,5,7,5,7,5,7,6,7,8917,33172,23,87635
28.11.2021 11:26:52,sl01,50-65,Male,Daily,I play computer games at least once a week,5,A,5,3,6,2,4,4,4,6,5,7,6,6,6,6,7,4,,43390,26,61834
30.11.2021 19:59:52,FP01,20-30,Female,Daily,I used to play computer games rarely,4,A,7,7,7,5,5,4,3,7,6,7,7,5,5,6,6,7,8958,28268,23,98231
01.12.2021 12:47:45,LF02,20-30,Male,Daily,I used to play computer games regularly,6,A,6,6,6,6,6,6,3,6,6,6,6,6,7,7,7,7,12750,23099,23,57608
