Zeitstempel,What is your participation ID?,Please state your age,Please state your gender,How often do you use a computer?,Do you have experience playing computer games?,How would you assess your knowledge on climate change?,Which Menu Option was presented - (ask Dev),Obstructive-Supportive,Complicated-Easy,Confusing-Clear,Boring-Exciting,Not Interesting-Interesting,Conventional-Inventive,Usual-Leading edge,I could complete all the given tasks satisfyingly with this version,I found this version's item placement intuitive.,I felt confident placing the correct items in the right place.,The menu structure of this version was intuitive.,The menu provided timely all the information I needed to complete the tasks.,The game visualizes climate change well.,The game helps me get a feeling of climate change and it's origin.,The information provided about the different objects was interesting and educational.,I would play a full version of this game,time to first place,time to perform,nr of clicks,mousetravel
27.11.2021 15:33:58,JB02,20-30,Male,Daily,I play computer games at least once a week,5,B,6,7,7,6,5,2,4,7,7,7,7,6,5,7,6,7,16420,19821,19,73157
28.11.2021 11:26:52,sl01,50-65,Male,Daily,I play computer games at least once a week,5,B,3,7,6,6,5,4,4,7,7,7,4,3,6,6,7,4,,41611,18,45193
30.11.2021 19:59:52,FP01,20-30,Female,Daily,I used to play computer games rarely,4,B,7,6,6,5,5,3,3,7,5,7,6,5,5,6,6,7,23310,25376,17,52914
01.12.2021 12:47:45,LF02,20-30,Male,Daily,I used to play computer games regularly,6,B,6,2,6,5,6,6,3,7,7,7,6,7,7,7,7,7,9469,28677,17,63053
27.11.2021 15:05:44,JB01,20-30,Male,Daily,I play computer games at least once a week,4,B,2,2,2,5,5,3,4,7,2,4,3,5,6,5,2,5,5165,12014,18,52066
28.11.2021 12:20:25,sl02,20-30,Female,Daily,I rarely play computer games,5,B,4,4,3,2,2,3,4,6,2,6,2,4,5,4,3,5,,14719,17,25307
28.11.2021 12:46:54,sl03,50-65,Female,Daily,I play computer games at least once a week,5,B,6,6,6,6,6,4,4,7,7,7,5,7,2,2,2,6,,24786,19,36045
28.11.2021 16:31:30,LR01,20-30,Male,Daily,I used to play computer games rarely,6,B,1,2,5,6,5,4,5,5,4,3,3,2,3,3,5,6,12906,43695,18,45328
28.11.2021 20:50:33,LR02,20-30,Male,Daily,I play computer games at least once a week,7,B,3,2,2,6,4,6,5,6,5,7,3,2,6,5,6,7,11538,21408,31,85336
01.12.2021 08:56:50,LF01,20-30,Male,Daily,I play computer games at least once a week,4,B,4,5,4,5,4,3,6,7,6,5,5,1,3,4,4,3,34423,18974,17,36589
